Topic	Start Verse ID	End Verse ID	Votes	#Generated 2024-01-29. Verse ID = bbcccvvv (01 = Gen, 66 = Rev). CC-BY License: www.openbible.info/topics
10 commandments	02020001	02020026	286
10 commandments	48005014		135
10 commandments	45013008	45013010	110
10 commandments	05004013		95
10 commandments	02034028		90
10 commandments	02020013		89
10 commandments	02020014		71
10 commandments	42006027	42006033	67
10 commandments	02020007		63
10 commandments	02020003		62
10 commandments	02020012		57
10 commandments	45005008		50
10 commandments	43014015		45
10 commandments	65001007		41
10 commandments	45013009		41
10 commandments	02020015		40
10 commandments	05004002		39
10 commandments	45007007		37
10 commandments	02024012		37
10 commandments	02020008	02020011	36
10 commandments	40019019		36
10 commandments	05005006	05005021	33
10 commandments	02020003	02020017	33
10 commandments	43015007		32
10 commandments	03022031		31
10 commandments	02020001		31
10 commandments	02020004	02020006	30
10 commandments	40005027	40005028	28
10 commandments	43014006		28
10 commandments	40005017		27
10 commandments	47005017		26
10 commandments	05010004		25
10 commandments	02020001	02020017	25
10 commandments	43015010		24
10 commandments	02020008		23
10 commandments	05005001	05005033	22
10 commandments	40005021	40005022	22
10 commandments	05006005		21
10 commandments	45007012		21
10 commandments	02020017		21
10 commandments	02020002		20
10 commandments	40019017		20
10 commandments	05005016		19
10 commandments	45006023		19
10 commandments	05004040		19
10 commandments	40019018		18
10 commandments	62003004		18
10 commandments	42018020		18
10 commandments	49002008	49002009	18
10 commandments	42013003		17
10 commandments	05005021		17
10 commandments	40022037		17
10 commandments	02020006		17
10 commandments	02020002	02020017	17
10 commandments	02020016		17
10 commandments	05005017		17
10 commandments	59001025		17
10 commandments	66021008		17
10 commandments	60003015		17
10 commandments	40022037	40022040	16
10 commandments	05005018		16
10 commandments	05010001	05010005	15
10 commandments	05005022		15
10 commandments	02031018		15
10 commandments	45003020		15
10 commandments	40005017	40005022	14
10 commandments	05005015		13
10 commandments	03019018		13
10 commandments	05010012	05010013	13
10 commandments	40005018		13
10 commandments	05005011		13
10 commandments	40022039		13
10 commandments	40005017	40005019	12
10 commandments	40019017	40019019	12
10 commandments	45007014		12
10 commandments	46010007		12
10 commandments	62003015		12
10 commandments	66014012		12
10 commandments	58004009		12
10 commandments	05005019		12
10 commandments	66022014		12
10 commandments	45006015		12
10 commandments	42004008		12
10 commandments	40007012		12
10 commandments	51003005		12
10 commandments	40022036	40022038	12
10 commandments	05005010		12
10 commandments	19147019		12
10 commandments	41010019		12
10 commandments	40012008		12
10 commandments	42012015		12
10 commandments	40005019		12
10 commandments	45007022		12
10 commandments	40015004		12
10 commandments	66012017		12
10 commandments	42004016		12
10 commandments	41002027	41002028	12
10 commandments	40022040		12
10 commandments	02034001		11
10 commandments	02020005		11
10 commandments	02021015		10
13th generation	55003001	55003005	61
13th generation	40024001	40024051	37
13th generation	66001001		32
13th generation	05005009		31
13th generation	02020005		30
13th generation	02034006	02034007	27
13th generation	19145004		27
13th generation	02034007		27
13th generation	42001050		24
13th generation	27004003		24
13th generation	02020005	02020006	23
13th generation	19078004		23
13th generation	43003016	43003017	21
13th generation	04014018		21
13th generation	44002040		21
13th generation	48003013		20
13th generation	20022006		18
13th generation	05024016		18
13th generation	55003001	55003017	17
13th generation	19100005		17
13th generation	02003015		16
13th generation	19078008		16
13th generation	05011019		15
13th generation	26018020		15
13th generation	47005017		15
13th generation	19078006		15
13th generation	42009041		14
13th generation	42021032		14
13th generation	19102018		14
13th generation	24050039		13
13th generation	48003013	48003014	13
13th generation	20026002		12
13th generation	40024034		12
13th generation	19090001	19090017	12
13th generation	44013036		11
13th generation	01015002		11
13th generation	05032005		11
13th generation	25005019		11
13th generation	07002010		11
13th generation	01009012		11
13th generation	45008002		11
13th generation	04013001	04013033	11
13th generation	23034010		10
13th generation	48005001		10
13th generation	45001001	45001032	10
13th generation	02020006		10
13th generation	21001004		10
13th generation	48003010		10
13th generation	05006007		10
13th generation	02020003		10
13th generation	40012039		10
13th generation	29001003		10
13th generation	40017017		10
13th generation	43008036		10
2012	40024036		25
2nd marriage	46007039		38
2nd marriage	40019009		29
2nd marriage	40005032		22
2nd marriage	42016018		17
2nd marriage	46007015		15
2nd marriage	46007001	46007040	14
2nd marriage	45007002	45007003	12
2nd marriage	40019001	40019030	10
4th of july	60002016		122
4th of july	47003017		81
4th of july	48005001		51
4th of july	56003001	56003005	48
4th of july	19033012		39
4th of july	43008032		29
4th of july	14007014		23
4th of july	50003020	50003021	21
4th of july	45013001	45013014	20
4th of july	41013001	41013037	17
4th of july	28008001	28008014	17
4th of july	60002011		17
4th of july	20021001	20021031	16
4th of july	06024015		14
4th of july	18009024	18009026	14
4th of july	60002013	60002017	14
4th of july	41012017		13
4th of july	19016001	19016011	12
4th of july	66011001	66011019	12
4th of july	26036026		12
666	66013018		302
666	66013001	66013018	176
666	66013016	66013018	145
666	66013017		73
666	14009013		70
666	66012001	66012017	69
666	66014001	66014020	69
666	66020004		56
666	66013016		49
666	66013008		47
666	15006001	15006022	43
666	15002013		40
666	66014009		36
666	66013002		35
666	66015002		35
666	04007001	04007089	33
666	66014009	66014011	32
666	66019020		31
666	04006001	04006027	31
666	11010014		31
666	66013001		30
666	27007025		29
666	05018018		29
666	66013011	66013018	29
666	66017009		29
666	66013007		28
666	27007001	27007028	28
666	66013004		27
666	27002001	27002049	27
666	66014011		27
666	66017001	66017018	24
666	66014012		24
666	62002018		24
666	66013015		23
666	66013005		23
666	66012009		22
666	43006066		22
666	23045001		21
666	53002004		21
666	66020001	66020015	19
666	53002003		19
666	27008001	27008027	19
666	66016013		18
666	66021001	66021008	17
666	44004012		17
666	66013017	66013018	16
666	66013003		16
666	66001001	66001002	16
666	66014004		16
666	40024001	40024051	16
666	66016002		15
666	04001001	04001054	15
666	53002008		15
666	27012010		15
666	27003001		15
666	66013012		15
666	43003016		14
666	66011001	66011019	14
666	43014006		14
666	53002010		13
666	66014002		13
666	66012003		13
666	66014001		13
666	66014010		13
666	66012012		13
666	23001001	23001031	13
666	53002009	53002010	12
666	66012017		12
666	66017001	66018024	12
666	55003002		12
666	04004001	04004049	12
666	21007012		12
666	66014006		12
666	66021017		12
666	55003001		12
666	66017005		12
666	66012002		12
666	45008018		11
666	66013011		11
666	48006017		11
666	52004016	52004018	11
666	66007003		11
666	66014014		11
666	45008001	45008039	10
666	66017004		10
666	66016001	66016021	10
666	27007024		10
666	66022004		10
666	66014019		10
666	66014008		10
7 deadly sins	20006016	20006019	80
7 deadly sins	62002016	62002017	40
7 deadly sins	40005028		34
7 deadly sins	20016018		22
7 deadly sins	48005022		22
7 deadly sins	02020017		22
7 deadly sins	43010017	43010018	18
7 deadly sins	46013013		15
7 deadly sins	21010018		12
7 deadly sins	60002001	60002009	12
7 deadly sins	04007001	04007089	11
7 deadly sins	20014001	20014035	11
7 deadly sins	43003016	43003017	10
911	23030025		36
a healthy marriage	58013004		485
a healthy marriage	01002024		339
a healthy marriage	51003019		271
a healthy marriage	51003018		247
a healthy marriage	49005025	49005029	222
a healthy marriage	46007010	46007011	212
a healthy marriage	49005022	49005023	208
a healthy marriage	20031010	20031031	187
a healthy marriage	51003018	51003019	173
a healthy marriage	60003001	60003006	168
a healthy marriage	01003016		153
a healthy marriage	42016018		148
a healthy marriage	46013004	46013007	138
a healthy marriage	20005015	20005019	138
a healthy marriage	02020014		136
a healthy marriage	49005021		136
a healthy marriage	20018022		132
a healthy marriage	46007032	46007034	130
a healthy marriage	49005022	49005033	125
a healthy marriage	60003001	60003007	117
a healthy marriage	49005031	49005032	116
a healthy marriage	21004009	21004012	110
a healthy marriage	46007003		106
a healthy marriage	49004002	49004003	94
a healthy marriage	01002018		93
a healthy marriage	39002014	39002015	92
a healthy marriage	49005033		90
a healthy marriage	49005028	49005032	87
a healthy marriage	46013001	46013013	76
a healthy marriage	01002018	01002024	75
a healthy marriage	46007003	46007005	72
a healthy marriage	40019004	40019006	70
a healthy marriage	20005018	20005019	70
a healthy marriage	49005025		62
a healthy marriage	45002006	45002008	58
a healthy marriage	20031010	20031012	58
a healthy marriage	19128001	19128004	54
a healthy marriage	49004029		50
a healthy marriage	41010006	41010009	50
a healthy marriage	39002016		50
a healthy marriage	20019014		44
a healthy marriage	22008006	22008007	44
a healthy marriage	50004008		43
a healthy marriage	50004013		43
a healthy marriage	20012004		42
a healthy marriage	40005032		41
a healthy marriage	53002014	53002015	40
a healthy marriage	45012002		40
a healthy marriage	01001027		40
a healthy marriage	46007001	46007016	39
a healthy marriage	41010002	41010012	38
a healthy marriage	44002038	44002039	38
a healthy marriage	46011001	46011002	36
a healthy marriage	49005025	49005033	36
a healthy marriage	49005001	49005033	33
a healthy marriage	45003023		31
a healthy marriage	43013034	43013035	30
a healthy marriage	60005007		29
a healthy marriage	42001037		29
a healthy marriage	49004015		29
a healthy marriage	43020019	43020023	28
a healthy marriage	50002012	50002013	27
a healthy marriage	42006037		27
a healthy marriage	46013001	46013006	27
a healthy marriage	60003007		27
a healthy marriage	49005021	49005033	24
a healthy marriage	54003002	54003005	24
a healthy marriage	39002014	39002016	24
a healthy marriage	40019004	40019005	23
a healthy marriage	01009001		23
a healthy marriage	49004026		23
a healthy marriage	45001026	45001029	21
a healthy marriage	47011002		21
a healthy marriage	20031010	20031011	20
a healthy marriage	19001001		19
a healthy marriage	19091015		19
a healthy marriage	01001001	01001013	17
a healthy marriage	20024001	20024034	17
a healthy marriage	21002024		16
a healthy marriage	46007003	46007004	16
a healthy marriage	46013004	46013005	15
a healthy marriage	01002018	01002025	15
a healthy marriage	40007013	40007014	15
a healthy marriage	46013007		15
a healthy marriage	46005007		12
a healthy marriage	54003002	54003004	12
a healthy marriage	22001001	22008014	12
a healthy marriage	60004008		12
a healthy marriage	46013004		11
a healthy marriage	43003016	43003017	11
a healthy marriage	44002038		11
a healthy marriage	49005022		11
a healthy marriage	43003016		10
a healthy marriage	43003018		10
a healthy marriage	19117001	19117002	10
a husband	60003001	60003022	321
a husband	60003007		280
a husband	46007010	46007011	237
a husband	51003019		230
a husband	49005025	49005033	208
a husband	01002024		184
a husband	49005025		146
a husband	54005008		138
a husband	46011003		125
a husband	20005018	20005019	115
a husband	21009009		104
a husband	39002014	39002015	100
a husband	49005028		96
a husband	54003002		92
a husband	46007003		89
a husband	20018022		88
a husband	20019014		80
a husband	20012004		75
a husband	20020006	20020007	73
a husband	46007001	46007007	71
a husband	49005031		70
a husband	49005023		70
a husband	49005022	49005024	59
a husband	46007003	46007005	59
a husband	01003016		58
a husband	49005033		57
a husband	49005028	49005029	51
a husband	40019005		51
a husband	20005018		48
a husband	49005025	49005028	48
a husband	54003012		44
a husband	58013004		44
a husband	50004013		34
a husband	49005022	49005033	32
a husband	39002014	39002016	32
a husband	40019004	40019006	32
a husband	49005022		29
a husband	01002018		29
a husband	60004008		28
a husband	51003018		28
a husband	49005001	49005033	28
a husband	51003018	51003019	28
a husband	40005028		27
a husband	49006004		25
a husband	54003002	54003005	24
a husband	49005022	49005023	24
a husband	60003001		24
a husband	46007014		22
a husband	56002005		21
a husband	40005032		21
a husband	49005021		20
a husband	49004032		19
a husband	56001006		19
a husband	60003001	60003006	18
a husband	46007002		18
a husband	45005008		17
a husband	46013001	46013013	16
a husband	60003006		16
a husband	46010013		15
a husband	59001001	59001027	15
a husband	43003016	43003017	14
a husband	49005025	49005029	14
a husband	46007001	46007040	14
a husband	56002004		14
a husband	49005024		14
a husband	20031010		13
a husband	05024005		13
a husband	46007003	46007004	12
a husband	20031010	20031012	12
a husband	20016001		12
a husband	66001001		12
a husband	44005029		12
a husband	20031010	20031011	12
a husband	49005028	49005033	11
a husband	46007010		10
a husband	66001001	66001020	10
a husband	40019009		10
a husband	43003016		10
a husband	56002004	56002005	10
a husband	49005022	49005025	10
a husband	20031001	20031031	10
a husband	49005026	49005027	10
a man	01001027		377
a man	01002007		170
a man	54005008		121
a man	20020006		90
a man	46016013		85
a man	59001012		84
a man	01001026	01001027	82
a man	49005025	49005028	77
a man	21007029		76
a man	46016013	46016014	75
a man	18031001		72
a man	33006008		70
a man	01002024		62
a man	19001001	19001003	62
a man	60003007		60
a man	20027017		59
a man	58013004		51
a man	49005025	49005033	48
a man	03018022		46
a man	49005025		42
a man	19008004	19008006	38
a man	46015058		38
a man	21007020		36
a man	19008004	19008005	35
a man	01003019		33
a man	06001009		32
a man	54002005		31
a man	01002022	01002024	30
a man	01002018		30
a man	58010026		27
a man	51003019		26
a man	54006011		26
a man	01001026		26
a man	03020013		26
a man	49006004		25
a man	49004024		25
a man	49005022	49005033	24
a man	55002022		24
a man	20020007		24
a man	46015045	46015049	24
a man	01002015		23
a man	40019004	40019006	22
a man	58004012		22
a man	46013011		22
a man	46015045		21
a man	65001007		21
a man	46011003		20
a man	11002002	11002003	20
a man	49004001	49004002	20
a man	43003016	43003017	20
a man	19037023		19
a man	55003016		18
a man	54004012		18
a man	43003016		17
a man	59005012		17
a man	01002022		17
a man	66001001		17
a man	49004001	49004003	16
a man	54006011	54006012	16
a man	18001001		16
a man	26022030		16
a man	01002015	01002024	15
a man	51003018	51003019	15
a man	54002008		15
a man	46006009		15
a man	50004013		14
a man	59002010		14
a man	56002007		14
a man	46007002		13
a man	19112001	19112010	13
a man	18010012		13
a man	19001001	19001006	13
a man	19119009		13
a man	19139014		12
a man	45005012		12
a man	40005028		12
a man	49005022	49005025	12
a man	19128001	19128004	12
a man	26018020		12
a man	20018022		12
a man	40024035		12
a man	48003028		12
a man	19001001	19001002	12
a man	45001027		11
a man	40005019		11
